Formula,K_frac,Rb_frac,Cs_frac,MA_frac,FA_frac,Li_frac,Ca_frac,Sr_frac,Ba_frac,Ge_frac,Sn_frac,Pb_frac,Be_frac,Ni_frac,Cl_frac,Br_frac,I_frac,F_frac,A_Ionic_radius,B_Ionic_radius,X_Ionic_radius,A+B_Ionic_radius,A+X_Ionic_radius,B+X_Ionic_radius,A/B_Ionic_radius,A/X_Ionic_radius,B/X_Ionic_radius,Tolerance factor,Octahedral factor,A_Ionization energy(kJ/mol),B_Ionization energy(kJ/mol),X_Ionization energy(kJ/mol),A_Electron_affinity(kJ/mol),B_Electron_affinity(kJ/mol),X_Electron_affinity(kJ/mol),B_Valence_electrons,A_Boiling_point(K),B_Boiling_point(K),X_Boiling_point(K),A_Melting_point(K),B_Melting_point(K),X_Melting_point(K),A_Density(g/cc),B_Density(g/cc),X_Density(g/cc),A_Atomic_weight(u),B_Atomic_weight(u),X_Atomic_weight(u),A_Heat_of_fusion(kJ/mol),B_Heat_of_fusion(kJ/mol),X_Heat_of_fusion(kJ/mol),A_Heat_of_vap(kJ/mol),B_Heat_of_vap(kJ/mol),X_Heat_of_vap(kJ/mol),A_Electronegativity,B_Electronegativity,X_Electronegativity,Decomposition Energy (eV p.f.u.),Band Gap (eV),SLME @ 5um
MAGeCl_3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.17,0.87,1.81,3.04,3.98,2.68,2.49,1.2,0.48,1.05,0.48,926.3,762.1,1251.1,8.68,120,348.8,4,267,3107,239.18,180.65,1211.5,172.17,0.7,5.32,3.21,32.07,72.61,35.45,6.13,31.8,3.21,23.85,334.3,10.2,2.55,2.01,3.16,-0.391,1.954,0.148
MAGeBr_3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.17,0.87,1.96,3.04,4.13,2.83,2.49,1.11,0.44,1.03,0.44,926.3,762.1,1139.9,8.68,120,324.6,4,267,3107,331.85,180.65,1211.5,265.95,0.7,5.32,3.12,32.07,72.61,79.9,6.13,31.8,5.29,23.85,334.3,14.73,2.55,2.01,2.96,-0.243,1.612,0.204
MAGeI_3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.17,0.87,2.2,3.04,4.37,3.07,2.49,0.99,0.4,1.01,0.4,926.3,762.1,1008.4,8.68,120,295.3,4,267,3107,457.5,180.65,1211.5,386.7,0.7,5.32,4.93,32.07,72.61,126.9,6.13,31.8,7.76,23.85,334.3,20.9,2.55,2.01,2.66,-0.03,1.311,0.231
MASnCl_3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.17,1.15,1.81,3.32,3.98,2.96,1.89,1.2,0.64,0.95,0.64,926.3,708.6,1251.1,8.68,121,348.8,4,267,2876,239.18,180.65,505.12,172.17,0.7,7.31,3.21,32.07,118.71,35.45,6.13,7.2,3.21,23.85,290.37,10.2,2.55,1.96,3.16,-0.246,1.582,0.165
MASnBr_3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.17,1.15,1.96,3.32,4.13,3.11,1.89,1.11,0.59,0.94,0.59,926.3,708.6,1139.9,8.68,121,324.6,4,267,2876,331.85,180.65,505.12,265.95,0.7,7.31,3.12,32.07,118.71,79.9,6.13,7.2,5.29,23.85,290.37,14.73,2.55,1.96,2.96,-0.228,1.262,0.198
MASnI_3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.17,1.15,2.2,3.32,4.37,3.35,1.89,0.99,0.52,0.92,0.52,926.3,708.6,1008.4,8.68,121,295.3,4,267,2876,457.5,180.65,505.12,386.7,0.7,7.31,4.93,32.07,118.71,126.9,6.13,7.2,7.76,23.85,290.37,20.9,2.55,1.96,2.66,-0.157,0.879,0.2
MAPbI_3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.17,1.19,2.2,3.36,4.37,3.39,1.82,0.99,0.54,0.91,0.54,926.3,715.5,1008.4,8.68,110,295.3,4,267,2023,457.5,180.65,600.65,386.7,0.7,11.35,4.93,32.07,207.2,126.9,6.13,4.77,7.76,23.85,177.9,20.9,2.55,2.33,2.66,0.034,1.852,0.216
MAPbBr_3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.17,1.19,1.96,3.36,4.13,3.15,1.82,1.11,0.61,0.93,0.61,926.3,715.5,1139.9,8.68,110,324.6,4,267,2023,331.85,180.65,600.65,265.95,0.7,11.35,3.12,32.07,207.2,79.9,6.13,4.77,5.29,23.85,177.9,14.73,2.55,2.33,2.96,-0.152,1.974,0.116
MAPbCl_3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.17,1.19,1.81,3.36,3.98,3,1.82,1.2,0.66,0.94,0.66,926.3,715.5,1251.1,8.68,110,348.8,4,267,2023,239.18,180.65,600.65,172.17,0.7,11.35,3.21,32.07,207.2,35.45,6.13,4.77,3.21,23.85,177.9,10.2,2.55,2.33,3.16,-0.171,2.526,0.06
CsGeCl_3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.74,0.87,1.81,2.61,3.55,2.68,2,0.96,0.48,0.94,0.48,375.7,762.1,1251.1,45.49,120,348.8,4,944,3107,239.18,301.54,1211.5,172.17,1.87,5.32,3.21,132.91,72.61,35.45,2.09,31.8,3.21,67.74,334.3,10.2,0.79,2.01,3.16,1.237,1.051,0.177
CsGeBr_3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.74,0.87,1.96,2.61,3.7,2.83,2,0.89,0.44,0.92,0.44,375.7,762.1,1139.9,45.49,120,324.6,4,944,3107,331.85,301.54,1211.5,265.95,1.87,5.32,3.12,132.91,72.61,79.9,2.09,31.8,5.29,67.74,334.3,14.73,0.79,2.01,2.96,-0.276,0.767,0.16
CsGeI_3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.74,0.87,2.2,2.61,3.94,3.07,2,0.79,0.4,0.91,0.4,375.7,762.1,1008.4,45.49,120,295.3,4,944,3107,457.5,301.54,1211.5,386.7,1.87,5.32,4.93,132.91,72.61,126.9,2.09,31.8,7.76,67.74,334.3,20.9,0.79,2.01,2.66,0.004,0.635,0.154
CsSnCl_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.74,1.15,1.81,2.89,3.55,2.96,1.51,0.96,0.64,0.85,0.64,375.7,708.6,1251.1,45.49,121,348.8,4,944,2876,239.18,301.54,505.12,172.17,1.87,7.31,3.21,132.91,118.71,35.45,2.09,7.2,3.21,67.74,290.37,10.2,0.79,1.96,3.16,1.358,1.028,0.172
CsSnBr_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.74,1.15,1.96,2.89,3.7,3.11,1.51,0.89,0.59,0.84,0.59,375.7,708.6,1139.9,45.49,121,324.6,4,944,2876,331.85,301.54,505.12,265.95,1.87,7.31,3.12,132.91,118.71,79.9,2.09,7.2,5.29,67.74,290.37,14.73,0.79,1.96,2.96,-0.272,0.634,0.122
CsSnI_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.74,1.15,2.2,2.89,3.94,3.35,1.51,0.79,0.52,0.83,0.52,375.7,708.6,1008.4,45.49,121,295.3,4,944,2876,457.5,301.54,505.12,386.7,1.87,7.31,4.93,132.91,118.71,126.9,2.09,7.2,7.76,67.74,290.37,20.9,0.79,1.96,2.66,-0.152,0.483,0.095
CsPbCl_3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.74,1.19,1.81,2.93,3.55,3,1.46,0.96,0.66,0.84,0.66,375.7,715.5,1251.1,45.49,110,348.8,4,944,2023,239.18,301.54,600.65,172.17,1.87,11.35,3.21,132.91,207.2,35.45,2.09,4.77,3.21,67.74,177.9,10.2,0.79,2.33,3.16,1.438,2.211,0.085
CsPbBr_3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.74,1.19,1.96,2.93,3.7,3.15,1.46,0.89,0.61,0.83,0.61,375.7,715.5,1139.9,45.49,110,324.6,4,944,2023,331.85,301.54,600.65,265.95,1.87,11.35,3.12,132.91,207.2,79.9,2.09,4.77,5.29,67.74,177.9,14.73,0.79,2.33,2.96,-0.17,1.774,0.154
CsPbI_3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.74,1.19,2.2,2.93,3.94,3.39,1.46,0.79,0.54,0.82,0.54,375.7,715.5,1008.4,45.49,110,295.3,4,944,2023,457.5,301.54,600.65,386.7,1.87,11.35,4.93,132.91,207.2,126.9,2.09,4.77,7.76,67.74,177.9,20.9,0.79,2.33,2.66,0.065,1.482,0.219
FAGeCl_3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2.53,0.87,1.81,3.4,4.34,2.68,2.91,1.4,0.48,1.15,0.48,849.1,762.1,1251.1,8.6,120,348.8,4,319,3107,239.18,354,1211.5,172.17,1.1,5.32,3.21,45.06,72.61,35.45,6.5,31.8,3.21,29,334.3,10.2,2.57,2.01,3.16,-1.404,3.047,0.023
FAGeBr_3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2.53,0.87,1.96,3.4,4.49,2.83,2.91,1.29,0.44,1.12,0.44,849.1,762.1,1139.9,8.6,120,324.6,4,319,3107,331.85,354,1211.5,265.95,1.1,5.32,3.12,45.06,72.61,79.9,6.5,31.8,5.29,29,334.3,14.73,2.57,2.01,2.96,-0.97,2.109,0.122
FAGeI_3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.53,0.87,2.2,3.4,4.73,3.07,2.91,1.15,0.4,1.09,0.4,849.1,762.1,1008.4,8.6,120,295.3,4,319,3107,457.5,354,1211.5,386.7,1.1,5.32,4.93,45.06,72.61,126.9,6.5,31.8,7.76,29,334.3,20.9,2.57,2.01,2.66,-0.542,1.467,0.21
FASnCl_3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2.53,1.15,1.81,3.68,4.34,2.96,2.2,1.4,0.64,1.04,0.64,849.1,708.6,1251.1,8.6,121,348.8,4,319,2876,239.18,354,505.12,172.17,1.1,7.31,3.21,45.06,118.71,35.45,6.5,7.2,3.21,29,290.37,10.2,2.57,1.96,3.16,-1.222,2.465,0.071
FASnBr_3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.53,1.15,1.96,3.68,4.49,3.11,2.2,1.29,0.59,1.02,0.59,849.1,708.6,1139.9,8.6,121,324.6,4,319,2876,331.85,354,505.12,265.95,1.1,7.31,3.12,45.06,118.71,79.9,6.5,7.2,5.29,29,290.37,14.73,2.57,1.96,2.96,-0.996,1.341,0.208
FASnI_3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.53,1.15,2.2,3.68,4.73,3.35,2.2,1.15,0.52,1,0.52,849.1,708.6,1008.4,8.6,121,295.3,4,319,2876,457.5,354,505.12,386.7,1.1,7.31,4.93,45.06,118.71,126.9,6.5,7.2,7.76,29,290.37,20.9,2.57,1.96,2.66,-0.742,1.054,0.217
FAPbCl_3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2.53,1.19,1.81,3.72,4.34,3,2.13,1.4,0.66,1.02,0.66,849.1,715.5,1251.1,8.6,110,348.8,4,319,2023,239.18,354,600.65,172.17,1.1,11.35,3.21,45.06,207.2,35.45,6.5,4.77,3.21,29,177.9,10.2,2.57,2.33,3.16,-1.088,2.611,0.053
FAPbBr_3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2.53,1.19,1.96,3.72,4.49,3.15,2.13,1.29,0.61,1.01,0.61,849.1,715.5,1139.9,8.6,110,324.6,4,319,2023,331.85,354,600.65,265.95,1.1,11.35,3.12,45.06,207.2,79.9,6.5,4.77,5.29,29,177.9,14.73,2.57,2.33,2.96,-0.915,2.112,0.127
FAPbI_3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.53,1.19,2.2,3.72,4.73,3.39,2.13,1.15,0.54,0.99,0.54,849.1,715.5,1008.4,8.6,110,295.3,4,319,2023,457.5,354,600.65,386.7,1.1,11.35,4.93,45.06,207.2,126.9,6.5,4.77,7.76,29,177.9,20.9,2.57,2.33,2.66,-0.435,1.942,0.186
FABaI_3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.53,1.42,2.2,3.95,4.73,3.62,1.78,1.15,0.65,0.92,0.65,849.1,502.9,1008.4,8.6,-52,295.3,2,319,2078,457.5,354,1002,386.7,1.1,3.59,4.93,45.06,137.33,126.9,6.5,8.01,7.76,29,140.2,20.9,2.57,1,2.66,-0.401,3.205,0.006
